Date,Action,Ticker,Price,Qty
2020-12-24,BUY,EIX,48.6314811706543,205
2020-12-24,BUY,MOS,19.7753849029541,504
2020-12-24,BUY,CF,33.00775146484375,302
2020-12-24,BUY,NEM,51.64812469482422,193
2020-12-24,BUY,FSLR,102.4000015258789,97
2020-12-24,BUY,INCY,87.37000274658203,114
2020-12-24,BUY,SYF,30.28916358947754,329
2020-12-24,BUY,UHS,133.3742218017578,74
2020-12-24,BUY,PTC,119.8499984741211,83
2020-12-24,BUY,AEE,66.04009246826172,151
2021-05-07,SELL,PTC,131.16000366210938,83
2021-05-07,BUY,CI,239.9571685791016,48
2021-06-30,SELL,CI,218.6708068847656,48
2021-07-16,BUY,DVN,20.37581825256348,535
2021-07-22,SELL,FSLR,83.68000030517578,97
2021-08-23,SELL,INCY,75.52999877929688,114
2021-08-23,BUY,FANG,59.42146301269531,186
2021-08-31,SELL,FANG,63.48715591430664,186
2021-08-31,BUY,OKE,41.60659408569336,271
2021-09-16,SELL,UHS,143.6551513671875,74
2021-09-16,BUY,DECK,73.32333374023438,155
2021-10-07,SELL,OKE,48.12643051147461,271
2021-10-07,BUY,FSLR,97.5199966430664,125
2021-12-06,SELL,DECK,64.27666473388672,155
2021-12-06,BUY,NVDA,29.978933334350582,412
2021-12-10,SELL,SYF,43.5730094909668,329
2021-12-10,BUY,F,16.35716438293457,773
2021-12-21,SELL,F,14.954035758972168,773
2021-12-21,BUY,MU,88.59986877441406,141
2021-12-27,SELL,FSLR,87.86000061035156,125
2021-12-27,BUY,FANG,91.86651611328124,143
2022-01-12,SELL,NEM,54.48810577392578,193
2022-01-20,BUY,NEM,56.54292678833008,225
2022-02-01,SELL,MU,79.66644287109375,141
2022-02-04,SELL,AEE,77.0473861694336,151
2022-02-04,SELL,NVDA,24.271982192993164,412
2022-02-04,BUY,EXC,37.703861236572266,354
2022-02-04,BUY,F,13.766205787658691,969
2022-03-07,SELL,F,12.240884780883787,969
2022-03-07,BUY,GD,228.2276153564453,67
2022-03-14,SELL,FANG,104.7665557861328,143
2022-03-14,BUY,CINF,115.65383911132812,126
2022-03-29,SELL,CINF,124.00528717041016,126
2022-03-29,BUY,LLY,278.9835510253906,56
2022-07-01,SELL,GD,208.8909454345703,67
2022-07-01,BUY,MRK,83.11958312988281,169
2022-08-08,SELL,EXC,39.57379531860352,354
2022-08-08,BUY,FSLR,106.73999786376952,134
2022-08-16,SELL,NEM,41.41316604614258,225
2022-11-09,SELL,DVN,57.85581207275391,535
2022-11-09,BUY,GILD,73.46652221679688,216
2022-11-09,BUY,INCY,77.22000122070312,205
2022-12-23,SELL,LLY,359.2646179199219,56
2022-12-23,BUY,VICI,27.71410179138184,571
2023-01-03,BUY,DECK,64.87166595458984,235
2023-03-28,SELL,CF,65.83619689941406,302
2023-03-28,BUY,FIX,140.42001342773438,112
2023-03-30,SELL,INCY,71.04000091552734,205
2023-03-30,BUY,LVS,53.03104782104492,302
2023-04-13,SELL,FIX,130.33914184570312,112
2023-04-13,BUY,ACGL,67.03834533691406,243
2023-05-15,SELL,GILD,71.20203399658203,216
2023-05-15,BUY,UHS,136.31434631347656,118
2023-05-22,SELL,MOS,33.298152923583984,504
2023-05-22,BUY,LLY,426.2804565429688,36
2023-05-26,SELL,VICI,26.22308921813965,571
2023-05-26,BUY,AVGO,78.26543426513672,193
2023-07-28,SELL,LVS,56.5447998046875,302
2023-07-28,BUY,RCL,106.69512176513672,151
2023-09-20,SELL,FSLR,169.24000549316406,134
2023-09-20,BUY,CF,79.23812103271484,197
2023-09-27,SELL,AVGO,79.5080795288086,193
2023-09-27,BUY,MU,67.49486541748047,225
2023-10-24,SELL,MU,67.46868896484375,225
2023-10-24,BUY,ALL,118.62095642089844,127
2023-11-06,SELL,RCL,88.87820434570312,151
2023-11-06,BUY,APP,39.41999816894531,403
2023-11-10,SELL,ALL,124.3759307861328,127
2023-11-10,BUY,AVGO,93.20475006103516,173
2023-12-08,SELL,APP,37.36000061035156,403
2023-12-08,BUY,UBER,61.70000076293945,261
2023-12-11,SELL,ACGL,75.70103454589844,243
2023-12-11,BUY,ALL,137.4409942626953,118
2023-12-14,SELL,MRK,99.3324966430664,169
2023-12-14,BUY,HST,17.096323013305664,967
2023-12-29,SELL,ALL,134.47254943847656,118
2023-12-29,BUY,FANG,144.36972045898438,114
2024-05-10,SELL,CF,70.86243438720703,197
2024-05-10,BUY,SYF,44.47917556762695,432
2024-05-15,SELL,UBER,66.62000274658203,261
2024-05-15,SELL,HST,16.77131462097168,967
2024-05-15,BUY,APP,84.05999755859375,233
2024-08-05,SELL,APP,67.13999938964844,233
2024-08-05,BUY,NEM,45.74958801269531,420
2024-09-16,SELL,LLY,915.1867065429688,36
2024-09-16,BUY,APP,116.25,182
2024-09-16,BUY,VZ,41.4542350769043,511
2024-09-17,SELL,AVGO,160.0583038330078,173
2024-09-17,BUY,CF,79.0886001586914,269
2024-10-18,SELL,FANG,178.02691650390625,114
2024-10-18,BUY,OKE,91.42462158203124,246
2024-10-28,SELL,VZ,38.939083099365234,511
2024-10-28,BUY,RCL,200.47286987304688,110
2024-12-23,SELL,UHS,179.9776153564453,118
2024-12-31,BUY,AEE,86.59999084472656,298
2025-01-03,SELL,NEM,37.474639892578125,420
2025-02-14,SELL,DECK,155.07000732421875,235
2025-02-14,BUY,NEM,45.76409149169922,613
2025-03-04,SELL,EIX,51.577903747558594,205
2025-03-04,BUY,GILD,111.6195068359375,211
2025-03-17,SELL,OKE,94.5199203491211,246
2025-03-17,BUY,ALL,207.08712768554688,113
2025-04-14,SELL,RCL,190.0474395751953,110
2025-04-14,BUY,MOS,26.00358963012696,832
2025-04-16,SELL,SYF,46.110145568847656,432
2025-04-16,BUY,EBAY,64.77667999267578,333
2025-04-17,SELL,EBAY,65.55831146240234,333
2025-04-17,BUY,VICI,31.15763664245605,698
2025-04-22,SELL,APP,237.7100067138672,182
2025-04-22,BUY,VZ,41.78450012207031,522
2025-04-22,BUY,SYF,47.88512802124024,455
2025-04-23,SELL,ALL,191.93753051757807,113
2025-04-23,BUY,APH,70.78949737548828,307
2025-04-29,SELL,SYF,51.70134353637695,455
2025-04-29,BUY,INCY,60.43000030517578,368
2025-04-30,SELL,APH,76.56010437011719,307
2025-04-30,BUY,EIX,51.11845397949219,437
2025-05-02,SELL,VICI,30.3437442779541,698
2025-05-02,SELL,VZ,42.31660461425781,522
2025-05-02,BUY,CTRA,25.000526428222656,893
2025-05-02,BUY,GL,121.08452606201172,184
2025-05-12,SELL,GL,119.9813232421875,184
2025-05-12,BUY,UBER,88.0999984741211,253
2025-06-16,SELL,UBER,85.12000274658203,253
2025-06-16,BUY,UHS,170.0326690673828,140
2025-06-17,SELL,CTRA,26.224889755249023,893
2025-06-17,BUY,JBL,196.7395477294922,120
2025-07-11,SELL,UHS,182.16929626464844,140
2025-07-11,BUY,RCL,336.3275146484375,72
2025-07-31,SELL,JBL,222.9994659423828,120
2025-07-31,BUY,PTC,214.8099975585937,115
2025-09-16,SELL,AEE,97.85543060302734,298
2025-09-16,BUY,SYF,74.22496795654297,346
2025-10-07,SELL,RCL,313.67987060546875,72
2025-10-07,SELL,PTC,202.259994506836,115
2025-10-07,BUY,MU,185.61502075195312,142
2025-10-07,BUY,APP,631.8499755859375,41
2025-11-12,SELL,GILD,122.59031677246094,211
2025-11-12,BUY,EXPE,273.19390869140625,101
2025-11-28,SELL,APP,599.47998046875,41
2025-11-28,BUY,UHS,243.4300079345703,111
2025-12-01,SELL,EXPE,258.95001220703125,101
